file_name,OUTPUT:classes
73TimePhoto_20241006_063116 (110).jpg,"[2, 5, 11]"
73TimePhoto_20241006_063116 (81).jpg,"[2, 5, 9, 11]"
74TimePhoto_20241010_061410 (195).jpg,"[2, 5, 7, 10]"
74TimePhoto_20241010_061410 (29).jpg,[13]
73TimePhoto_20241006_063116 (169).jpg,"[2, 5, 7, 10]"
74TimePhoto_20241010_061410 (133).jpg,[13]
74TimePhoto_20241010_061410 (64).jpg,"[2, 5, 10, 11]"
72TimePhoto_20241002_062336 (222).jpg,"[2, 5, 7, 9]"
74TimePhoto_20241010_061410 (100).jpg,"[2, 5, 11]"
74TimePhoto_20241010_061410 (244).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (77).jpg,"[2, 5, 9, 11]"
73TimePhoto_20241006_063116 (133).jpg,"[2, 5, 7, 10]"
73TimePhoto_20241006_063116 (12).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (207).jpg,"[4, 5, 11]"
74TimePhoto_20241010_061410 (156).jpg,[13]
73TimePhoto_20241006_063116 (147).jpg,"[2, 5, 7, 9]"
73TimePhoto_20241006_063116 (6).jpg,"[2, 5, 8, 9]"
73TimePhoto_20241006_063116 (157).jpg,"[2, 5, 7, 9]"
74TimePhoto_20241010_061410 (20).jpg,"[2, 5, 7, 10]"
73TimePhoto_20241006_063116 (113).jpg,"[2, 5, 11]"
TimePhoto_20241020_125046.jpg,"[5, 11, 14]"
73TimePhoto_20241006_063116 (25).jpg,"[1, 5, 8, 10]"
72TimePhoto_20241002_062336 (186).jpg,"[2, 5, 8, 10]"
74TimePhoto_20241010_061410 (112).jpg,"[2, 5, 7, 9]"
72TimePhoto_20241002_062336 (127).jpg,"[2, 5, 8, 10]"
74TimePhoto_20241010_061410 (1).jpg,"[5, 11, 12]"
74TimePhoto_20241010_061410 (122).jpg,[13]
72TimePhoto_20241002_062336 (216).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (162).jpg,"[2, 5, 8]"
72TimePhoto_20241002_062336 (206).jpg,"[2, 5, 7, 10]"
TimePhoto_20241020_071001.jpg,[13]
72TimePhoto_20241002_062336 (55).jpg,"[2, 5, 11]"
74TimePhoto_20241010_061410 (226).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (107).jpg,"[4, 5, 11]"
73TimePhoto_20241006_063116 (168).jpg,"[2, 5, 7, 10]"
74TimePhoto_20241010_061410 (115).jpg,"[2, 5, 7, 10]"
73TimePhoto_20241006_063116 (3).jpg,"[5, 7, 9, 12]"
73TimePhoto_20241006_063116 (45).jpg,[13]
74TimePhoto_20241010_061410 (183).jpg,"[5, 8, 9, 12]"
73TimePhoto_20241006_063116 (122).jpg,"[2, 5, 7]"
TimePhoto_20241020_062143.jpg,"[2, 5, 8]"
73TimePhoto_20241006_063116 (10).jpg,"[2, 5, 7, 9]"
74TimePhoto_20241010_061410 (69).jpg,"[5, 11, 12]"
74TimePhoto_20241010_061410 (238).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (65).jpg,"[2, 5, 11]"
TimePhoto_20241020_122950.jpg,"[1, 5, 8, 10]"
72TimePhoto_20241002_062336 (67).jpg,"[2, 5, 10, 11]"
73TimePhoto_20241006_063116 (50).jpg,"[2, 5, 8, 10]"
73TimePhoto_20241006_063116 (124).jpg,"[3, 5, 11]"
73TimePhoto_20241006_063116 (118).jpg,"[2, 5, 7]"
73TimePhoto_20241006_063116 (218).jpg,"[2, 5, 7]"
73TimePhoto_20241006_063116 (119).jpg,"[2, 5, 7]"
74TimePhoto_20241010_061410 (206).jpg,"[1, 5, 8]"
74TimePhoto_20241010_061410 (155).jpg,[13]
73TimePhoto_20241006_063116 (78).jpg,"[2, 5, 10, 11]"
72TimePhoto_20241002_062336 (210).jpg,"[4, 5, 11]"
TimePhoto_20241020_132539.jpg,[13]
73TimePhoto_20241006_063116 (213).jpg,"[2, 5, 7, 10]"
73TimePhoto_20241006_063116 (195).jpg,"[2, 6, 11]"
74TimePhoto_20241010_061410 (240).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (180).jpg,"[2, 5, 8, 10]"
73TimePhoto_20241006_063116 (83).jpg,"[2, 5, 11]"
74TimePhoto_20241010_061410 (269).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (156).jpg,"[2, 5, 7, 10]"
TimePhoto_20241020_120856.jpg,"[2, 5, 8, 9]"
74TimePhoto_20241010_061410 (101).jpg,"[5, 7, 12]"
74TimePhoto_20241010_061410 (191).jpg,"[2, 5, 7, 10]"
73TimePhoto_20241006_063116 (148).jpg,"[2, 5, 7, 9]"
74TimePhoto_20241010_061410 (38).jpg,[13]
73TimePhoto_20241006_063116 (17).jpg,"[2, 5, 7, 10]"
74TimePhoto_20241010_061410 (168).jpg,[13]
74TimePhoto_20241010_061410 (4).jpg,"[2, 5, 7, 9]"
72TimePhoto_20241002_062336 (166).jpg,"[2, 5, 8, 9]"
74TimePhoto_20241010_061410 (272).jpg,"[5, 7, 12]"
74TimePhoto_20241010_061410 (128).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (68).jpg,"[2, 5, 11]"
72TimePhoto_20241002_062336 (184).jpg,"[2, 5, 8, 10]"
74TimePhoto_20241010_061410 (208).jpg,"[1, 5, 8, 9]"
74TimePhoto_20241010_061410 (204).jpg,"[5, 7, 12]"
72TimePhoto_20241002_062336 (78).jpg,[13]
72TimePhoto_20241002_062336 (154).jpg,"[2, 5, 7, 10]"
72TimePhoto_20241002_062336 (150).jpg,"[1, 5, 8, 10]"
73TimePhoto_20241006_063116 (56).jpg,"[2, 5, 11]"
74TimePhoto_20241010_061410 (129).jpg,[13]
73TimePhoto_20241006_063116 (87).jpg,"[5, 11, 12]"
72TimePhoto_20241002_062336 (101).jpg,"[2, 5, 7]"
73TimePhoto_20241006_063116 (66).jpg,[13]
TimePhoto_20241020_144707.jpg,"[5, 8, 12]"
74TimePhoto_20241010_061410 (147).jpg,[13]
72TimePhoto_20241002_062336 (108).jpg,"[3, 5, 11]"
